,capped-octahedral,capped-trigonal-prismatic,octahedral,pentagonal-bipyramidal,trigonal-prismatic
,0.7453939785952689,0.5302025094793901,,0.43341582072377616,
,0.7468647409656332,0.5292652670372892,,0.43114910132563333,
,0.7485832451621125,0.5282368651269369,,0.4289291637790167,
,0.7505221581886135,0.5271303343180109,,0.4267778755228753,
,0.7526643355723965,0.5260085366447184,,0.42469619160304667,
,0.754992892982694,0.5249798609763013,,0.42266603097532923,
,0.7574872381264975,0.5241584549109467,,0.42065455703632526,
,0.7601133759700044,0.5236417453502251,,0.41862586644290145,
,0.7628145130001929,0.5234954008367899,,0.41655093371949836,
,0.7655058447797964,0.5237528417632071,,0.4144228500145004,
,0.7680850160794895,0.5244155549131654,,0.41225377047004724,
,0.7704590984311347,0.5254608445705612,,0.41006635683771525,
,0.7725660502326609,0.526850656367739,,0.4078825012398717,
,0.7743824098434156,0.5285417087301929,,0.40571717813355485,
,0.7759189902491711,0.5304884891089203,,0.4035807939865527,
,0.7772095526850711,0.5326421208160991,,0.40147940747172794,
,0.7782961240945494,0.5349512193246042,,0.3994173330537217,
,0.7792201791959771,0.5373728495003501,,0.3974048092554367,
,0.7800207380613168,0.5398714303816264,,0.39547952971503175,
,0.7807241560161381,0.5424225852570446,,0.39371773459176324,
,0.7813461423669485,0.5450102264365785,,0.3922152151617185,
,0.7818972810436723,0.5476213606942867,,0.3910544232261313,
,0.7823939006189226,0.5502460522106342,,0.3902772974878615,
,0.782840206106175,0.5528727794258207,,0.38986104716992626,
,0.7832259325652029,0.5554877680145535,,0.38973244628455367,
,0.7835296375193611,0.5580785394682803,,0.3897876465617415,
,0.7837290635613614,0.5606388380312906,,0.38992051353481694,
,0.7838105285216393,0.5631734570943898,,0.39005445755683904,
,0.7837674018247544,0.5656899787057437,,0.39016183817668654,
,0.7835899610834667,0.5681832529630114,,0.39025298519727636,
,0.78327400411052,0.570634918339221,,0.3903464247652903,
,0.7828101188113114,0.5730353812273496,,0.3904345760685187,
,0.7821923287759366,0.5753960433047166,,0.39047347287382045,
,0.7814201510696945,0.5777374187162546,,0.39039762977856995,
,0.7804977742059682,0.5800818474202077,,0.39014416635237065,
,0.7794469202592927,0.5824434457052611,,0.3896714255223735,
,0.7783113988203465,0.5848280112946248,,0.3889842661648154,
,0.7771526268190855,0.5872184546074746,,0.38813685665502895,
,0.7760317120045359,0.5895675865330762,,0.3872090665616586,
