,bicapped-trigonal-prismatic,capped-octahedral,capped-trigonal-prismatic,cubic,dodecahedral,hexagonal-bipyramidal,octahedral,pentagonal-bipyramidal,square-antiprismatic,trans-bicapped-octahedral,trigonal-prismatic
,,0.687088748363025,0.45341715273927974,,,,,0.3511340285709401,,,
,2.3574071971472814,,,2.3138572543505203,2.4964003616861086,2.047357968893763,,,1.8280615258745243,2.7889464773616024,
,2.387637996596192,,,2.3203503606479687,2.505115812926977,2.0966323731687893,,,1.836816871396444,2.7446758206206443,
,2.3764625386348115,,,2.429507853096673,2.5573680976338493,2.020804522819398,,,1.8901285721861634,2.865200403281916,
,,0.7859413000350501,0.5611173062867947,,,,,0.3296987246695761,,,
,2.4036486895209435,,,2.363341984594578,2.5055087950209765,2.0685414136653595,,,1.9493008086565258,2.875654609373259,
,2.418160954105285,,,2.3314731719723136,2.5248687100946574,2.076109928127591,,,1.8474995301531785,2.7764542893516038,
,2.407281814281789,,,2.3801996552773392,2.5791825489493787,2.0424684887602753,,,1.8263038129858966,2.78306720469574,
,2.379376425747348,,,2.38425290160749,2.4389577469101495,2.096474454603643,,,1.8985768825407179,2.8536417580625444,
,2.318684401877803,,,2.3945116389573773,2.4442398272677814,1.9967154575825392,,,1.8188983662959357,2.846739026988343,
,,0.7665014038657689,0.5457397171770344,,,,,0.3138032767774654,,,
,2.392801635173043,,,2.331565822534228,2.494126186703013,2.057761477385085,,,1.8281419382691682,2.8453509955386926,
,2.3783813517688426,,,2.280960756152897,2.4988609010681313,2.1272756317970907,,,1.8528846297090509,2.7703540691606454,
,2.4060672406791634,,,2.3854378344600975,2.518750257666836,2.034110274828644,,,1.865317544617677,2.8429266916942977,
,2.4044552816486733,,,2.3676527509425203,2.5271004271865785,2.050367014496582,,,1.884754016726461,2.760964702602321,
,,0.7520616212021115,0.4707915595669848,,,,,0.4223339784065031,,,
,2.1913161041476603,,,2.4142172690873376,2.3472692319255297,1.8411647543189045,,,1.6049877079744697,2.954638473886003,
,,0.7557664246068115,0.5357429719163262,,,,,0.3636071963433367,,,
,2.160131395778903,,,2.5791914382316716,2.3053946906286216,1.7898271964409116,,,1.5545609777202996,3.0344588428867563,
,2.2155711634664996,,,2.4521414853057975,2.3880191345843462,1.7850061355834932,,,1.5837885044871531,2.9667267311918333,
,,0.795539280298465,0.6412722911668919,,,,,0.28526269919379754,,,
,,1.497396487409827,1.3973250634340957,,,,,1.2782831062378852,,,
,2.1362788421357957,,,2.490149667734584,2.297321608694993,1.7650213594975783,,,1.5296294422823395,2.9984934552596454,
,2.196034846880475,,,2.4248978615993697,2.388643640637529,1.7389826126482903,,,1.5166146587771872,2.944671218592809,
,2.1581067037038286,,,2.472151307787003,2.3505305443002262,1.8176920707802848,,,1.4871966157767806,3.0127119026129052,
,2.2250295918857015,,,2.442040733748486,2.392274115444159,1.8313829138104374,,,1.521788358820157,2.9653797396510297,
,2.181578264534437,,,2.3828000308387884,2.3505809652327323,1.8127960217997663,,,1.5641778737712535,2.9610170614403035,
,,0.723557617730708,0.45392599130403827,,,,,0.44571899345840793,,,
,,0.724154262700125,0.513025964087412,,,,,0.3818303487550828,,,
,,0.8036182392422622,0.514604346358219,,,,,0.439040713609083,,,
,2.171013019567646,,,2.544787270563407,2.078916492194143,1.733063063806205,,,2.1413873018162546,2.6617308514569378,
,2.153785340710551,,,2.5019264443324203,2.0317806968823917,1.7769568074001816,,,2.088776233791948,2.645388580412529,
,,0.7539089090543394,0.43396128135096174,,,,,0.4176001181534011,,,
,,0.7004324334108925,0.42350076889652616,,,,,0.4353093539743843,,,
,,0.7552192131302987,0.5270653493961259,,,,,0.44504863030032227,,,
,,0.8004073871535493,0.4657993231666272,,,,,0.43104644760670313,,,
,,0.6911083990890062,0.42953557754311,,,,,0.4691729327120227,,,
,,0.7473705386931709,0.632654973046327,,,,,0.3551494798666077,,,
,,0.7050309988420965,0.34456004358321796,,,,,0.651728661440733,,,
,,0.7946140781175605,0.5254496122500114,,,,,0.45030034608232156,,,
,,0.7266022515447162,0.3627916116442377,,,,,0.5902035273973973,,,
,,0.802101119594376,0.4972615258256787,,,,,0.42759848184242377,,,
,,0.6987216309596493,0.4589736378619026,,,,,0.3455786406637777,,,
,,0.8162646053999402,0.5378032175831512,,,,,0.39413427004671886,,,
,,0.8601489716764574,0.627728762492542,,,,,0.3428528243355248,,,
,,0.7834429712301125,0.5447539819515829,,,,,0.36326327542950587,,,
,,0.7037979997994288,0.3949957366965179,,,,,0.4978324267594114,,,
,1.9707680547269828,,,2.409693921054563,1.9796415082583374,1.6607706070462787,,,1.9810493149674333,2.5764768560129583,
,2.163801034689219,,,2.4597619975162397,2.051360972848433,1.6854674865664978,,,2.1399952738473917,2.6328338779767164,
,,0.8733015845824756,0.5401017342209928,,,,,0.4398123643917255,,,
,,0.6559683080173893,0.3928414823263269,,,,,0.5397658571602972,,,
,,0.6557729024490304,0.37372218954276326,,,,,0.6075918461911464,,,
,,0.7976766820240122,0.5671986102211077,,,,,0.3210077216145689,,,
,,0.8451670663205221,0.5741426443834207,,,,,0.4180593420084694,,,
,,0.7100816260340725,0.39357945851901927,,,,,0.5395552889016846,,,
,,0.7295418953704508,0.47366174583769177,,,,,0.4098456240396668,,,
,,0.7450061707898912,0.441306726818171,,,,,0.4202901790157445,,,
,,0.7415037891950811,0.5480770918268646,,,,,0.3009049380907217,,,
,,0.7207211622365686,0.49087147999526254,,,,,0.4181025261586592,,,
,,0.7226865605610249,0.43416446558236577,,,,,0.41184000213795463,,,
,,0.775941409828895,0.5912968770380794,,,,,0.29343139214080294,,,
,,0.7245137123796697,0.5084734151106712,,,,,0.3477052852081515,,,
,,0.7521233585160578,0.602210806804823,,,,,0.3727337591599059,,,
,,0.7566967568251816,0.5344366319764825,,,,,0.3669664219510882,,,
,,0.731150775254707,0.3822348512219154,,,,,0.5904769828111417,,,
,,0.673881779195331,0.4057967728866092,,,,,0.44317322713962043,,,
,,0.8029802329000413,0.4966744748720051,,,,,0.39725916543571355,,,
