,octahedral,trigonal-prismatic
,0.1350423863164333,0.7784612667862884
,0.1333861530652255,0.7782241365418461
,0.1318855296720185,0.7781867567139904
,0.13073116204604707,0.7783009284108046
,0.12999696635587626,0.778491307191222
,0.1296309828790316,0.7786769709927682
,0.1294880497928727,0.7787799534078934
,0.1293887993427053,0.7787409971103914
,0.129203851956451,0.7785597245801955
,0.12893257932176933,0.7783194752149599
,0.1287290625350467,0.778155942598748
,0.1288311008555618,0.7781753014192601
,0.12943905796046407,0.7784146910002409
,0.13061618624289348,0.7788609903119612
,0.13227771332938953,0.7794857009913331
,0.13425941429792118,0.780248230174035
,0.1363995003816976,0.7810975939194557
,0.13857558362080258,0.7819742205878729
,0.14070478857370852,0.7828215719048879
,0.1427243661325702,0.7836027720802016
,0.14457312580285372,0.7842913166970525
,0.14620190174773975,0.7848501759553864
,0.14762375830933924,0.7852455002785693
,0.14891025840830527,0.7854855141425293
,0.1501046893964359,0.7856134309056025
,0.1511880090899666,0.7856740070929246
,0.15210675807703714,0.7856958273223111
,0.15280699989936822,0.7857063244602925
,0.15326108343933018,0.7857547860766708
,0.15347327295716676,0.785934583422375
,0.15344922010409603,0.7863582104494334
,0.1531704942351425,0.7870873778065486
,0.15260030273989414,0.7880910531009703
,0.15173552788171407,0.7892809192216305
,0.15062199525449402,0.7905728284953594
,0.14932991623089953,0.7919220730904316
,0.14793259525168628,0.7933136551420883
,0.14647698363799377,0.7947308229316267
,0.1449742816005997,0.7961378408170245
,0.14341592865266128,0.797511769609979
,0.14180304540374666,0.7988958915234516
,0.14014799677692236,0.8003870117701813
,0.1384366288354917,0.8020511547214006
,0.13661727967323384,0.8038704240063911
,0.13465086039533988,0.8057754527963072
,0.13257535624482852,0.8076918952256924
,0.13049442484398704,0.8095704831783758
,0.1285010997299723,0.8113895773418711
,0.12664031227968428,0.8131467133937963
,0.12492195631182794,0.8148647688948963
,0.12334118536263276,0.8166185883652729
,0.12191716197864329,0.8185275548557072
,0.12072876948463014,0.8206858900708376
,0.11993758601220235,0.8231119242989688
,0.11977998529108165,0.8257726029305302
,0.12051837584650449,0.8286155465433986
,0.12232714455177059,0.8315774560975832
,0.12516392001033336,0.8345881957039457
