,bicapped-trigonal-prismatic,capped-octahedral,capped-trigonal-prismatic,cubic,dodecahedral,hexagonal-bipyramidal,pentagonal-bipyramidal,square-antiprismatic,trans-bicapped-octahedral
,0.37393743000925256,,,0.7627797751913664,0.2758198876766281,1.0044767744940553,,0.24093185168760728,1.1058325447899593
,0.544453872080936,,,1.0144527833367578,0.6848432540700419,1.215443693438842,,0.3281226029467477,1.346496076755415
,0.666828482558917,,,0.9867083212567174,0.6146225902792994,1.2912806653948499,,0.3718062832731272,1.2197141687501085
,0.5108096036207744,,,0.885015459373645,0.5455670659607822,1.111029016951098,,0.19161167292140893,1.1581312729303952
,1.003048450594201,,,0.8270193794712987,1.014468426647674,1.09524615028606,,0.7535217899459202,1.1552378795704676
,2.565496428474253,,,2.4557510026808425,2.4147372574553594,2.608969577843225,,2.430167171822242,2.425070369530347
,2.4246042654592577,,,2.43510145377362,2.449582847055583,2.3062500326480877,,2.4573954601161265,2.3537022064838578
,2.654025772207739,,,2.531745172582189,2.647076637696731,2.3607167833281357,,2.675726436991067,2.627596426585134
,2.610195605109023,,,2.5423381467074266,2.650346152174988,2.3938201332191085,,2.6088132726530118,2.7316075952521177
,2.559796549113473,,,2.4045514123617817,2.513072972812577,2.2551572097388144,,2.604348235525511,2.4521081050006215
,2.590805303363564,,,2.4643263200149588,2.556558167681721,2.3141274428110847,,2.6389596675915037,2.509163721250373
,2.5465953683661273,,,2.4068818367301508,2.4912256639613197,2.3113549893962566,,2.584402292970573,2.4559004272299103
,2.540698119050229,,,2.5278009055241624,2.515781555523775,2.5219442974769595,,2.517974064175836,2.5318252379852386
,2.3416709777303013,,,2.171458713440327,2.24626672647209,2.323492419350022,,2.3211820090212716,2.21372241295541
,2.339600360156847,,,2.252214381776948,2.235294532684818,2.3879677751449333,,2.354543182795413,2.2552617976537768
,2.3827626273302847,,,2.120657435928827,2.2657057778470446,2.2985053051894218,,2.3011030479325716,2.105887966481747
,2.5007236998924824,,,2.196561517953232,2.372188018192349,2.4689963464472835,,2.4308680470545276,2.092301469384536
,2.5558429062435835,,,2.243386039297427,2.492542252570057,2.528229351784594,,2.4740675442787086,2.2832922532959827
,2.489524167504317,,,2.2198792660653135,2.462364458495077,2.49027444702148,,2.418826323403278,2.309353226941694
,2.3975850403005965,,,2.1771482678214857,2.3860941595578917,2.4574164001630794,,2.3242944092612383,2.2979151974774257
,2.680633592663864,,,2.599876825833655,2.769832057099347,2.676504338468611,,2.7408977113664283,2.5945726671179394
,2.4673257816719696,,,2.231863898778617,2.4513424667799133,2.5159246122379826,,2.384109570593568,2.3260335109904102
,2.3207235825260883,,,2.1902941585259144,2.3517258359836055,2.444484306938003,,2.2736291588957984,2.3270755129134617
,2.3808996270259346,,,2.191364244857344,2.390796174661906,2.4769260171484633,,2.320753813787357,2.3465306225022413
,2.3142646259373643,,,2.1525998959863615,2.3217616793704927,2.4441886647628372,,2.2503764170454192,2.3244198958376736
,2.499314625877629,,,2.2774237543395457,2.485046772578779,2.5488481044802342,,2.4169164090106614,2.3690084840851307
,2.4004459739486155,,,2.113744330503984,2.2770250955505666,2.3918387459618358,,2.3134477219475116,2.0228240625691902
,2.515367812590166,,,2.19340433368399,2.363360555942375,2.4768749199144953,,2.4498114870649057,2.0993258627963876
,2.1748642629965587,,,1.9352567632266595,2.046718268418349,2.1559114758320916,,2.09313115278892,1.8764534257156442
,2.06612325474334,,,1.9141374947927063,1.9234883509521845,2.106434666756796,,2.041927553407447,1.8846707888802212
,2.2959815897640743,,,1.983569757978539,2.148972879987222,2.236841863336534,,2.20137298866727,1.928605306082532
,2.164395102683577,,,1.885212766430069,2.016222168475716,2.0976779385799587,,2.0805771116314697,1.840256877340575
,2.433436711547313,,,2.3376295732093944,2.3264488918221375,2.431586759615569,,2.456862374989159,2.350475317998859
,2.019786484125602,,,1.9928514148558734,1.9866597553317167,2.085129112867854,,2.001000244670351,2.004402068599314
,2.306796731864637,,,2.2674189912920997,2.31164759215254,2.389568359295572,,2.2178712680283663,2.178147441736817
,1.7652546951718109,,,1.8605144610572861,1.7615498376184138,2.1041640827673027,,1.6511982083843944,1.9420940717732635
,2.057879080068785,,,2.296158802182172,2.070469166223891,2.3900324695179993,,1.9492709379445567,2.3285706221424625
,2.0891795276921235,,,2.2608154895209607,2.0668631741676218,2.3388836253991623,,1.9712383663486948,2.2458887751638104
,2.17071778851455,,,2.104995152518817,2.0251670877252996,2.296130115786549,,2.0738063897755654,2.0855558686709506
,2.184314803036306,,,2.0409890445372048,2.0175313128219923,2.200056945019753,,2.1073429711644747,2.024501840808199
,2.1706199673812883,,,2.030223148817266,2.0063381989493827,2.1831891462537483,,2.0957571428165176,2.0800269098855115
,2.143160245989374,,,2.0233737222425026,2.0050034846429043,2.1441332900876957,,2.0791099938370254,2.147874585865763
,2.219496831102296,,,2.0705835405545407,2.0564052709783445,2.2139683082722543,,2.141482419885056,2.132365759358179
,2.1305671457047075,,,2.0472354537078483,1.984765248464022,2.2064388885584902,,2.065303263709179,2.15974084815396
,2.1389934228715606,,,2.029353325392245,2.0507867685944645,2.155313934997022,,2.043687964000444,2.2244905140007214
,2.1509567620754737,,,2.0523665665517288,2.093006871597333,2.0753367451380305,,2.0556562090364965,2.2016788428792973
,2.162759154930779,,,2.065659513925918,2.114538959069424,1.9910030320478125,,2.0899080777721566,2.1982799187720734
,2.1178233309051175,,,2.0641617270177295,2.055721657116367,2.1942259590220674,,2.012426939953204,2.274560054074
,2.047709127992396,,,1.9364789838205985,1.9910651923094047,2.0335204833973033,,1.9483121046061762,1.999349721168573
,1.7780174942913047,,,1.5600724489410847,1.6794863020665802,1.8271641548997908,,1.6692038141780563,1.6822059503326545
,1.8192018010965443,,,1.5952578923992804,1.7240831331443496,1.8595628674494018,,1.703561266842216,1.706398397614343
,1.8114025336703812,,,1.5049263480433308,1.6902217189251574,1.6823513808257462,,1.699356014219879,1.6146910882053986
,2.4977094315556534,,,2.4443020223548206,2.4722236905713877,2.3893827023625094,,2.4167459362726915,2.4435604531023727
,2.438679204369799,,,2.55443784808791,2.4148547883689626,2.546015440227,,2.3506333804283024,2.5715831511462017
,2.812245762752784,,,2.86123118773432,2.72173538108984,2.6081537283234475,,2.7791006671961025,2.728183192605011
,2.7174726176130592,,,2.855456318266412,2.67900397153164,2.821797020349039,,2.6552169502587724,2.7949468141675147
,2.5714445963565398,,,2.763675478086304,2.612064653929362,2.7449928619178405,,2.5182150689221245,2.7818863736500976
,2.3981007146889035,,,2.456139956063719,2.3672872330896655,2.4383822965970725,,2.3781398694775846,2.4250516421262764
,2.4648859771543874,,,2.521932249567437,2.4419418414140757,2.4710703414163717,,2.4670664347231486,2.4947838927647172
,2.4317795222829224,,,2.4488689768558034,2.4010094304295784,2.389160339427103,,2.413429799802574,2.450204429286848
,2.380110592263949,,,2.436419045275796,2.3478292402234904,2.4115940251395047,,2.3776018266255785,2.417291970759479
,2.3446641836891895,,,2.440094777899706,2.3241141309154654,2.4122094532847966,,2.3274422195654663,2.4061458242623357
,2.6011426923534473,,,2.72795715779914,2.6966421510454013,2.621510141531938,,2.524003134432235,2.5731767485923625
,2.600438473309491,,,2.474705656120318,2.6055684033262576,2.4595918364273994,,2.516629933173356,2.402380666394682
,2.4107173807128492,,,2.1991276986747703,2.337941634590742,2.2829441656754987,,2.316605170582564,2.1514652381593202
,2.634260603120933,,,2.4273285028935105,2.6152932160930726,2.479747115546248,,2.5573455729013532,2.5230786537778496
,2.513464173738761,,,2.3401420715085486,2.476130978642297,2.4332171403596297,,2.4220878921683004,2.3528596194646303
,2.4688581302537633,,,2.3067923421229017,2.4314461413259223,2.403868463126645,,2.37389002023488,2.343871920573619
,2.4440135587750347,,,2.359177786131276,2.4833431128491257,2.527690817892817,,2.3663791267614553,2.454505452989387
,2.2863800528905776,,,2.344214648671818,2.346337653476092,2.636247376757403,,2.224735791429609,2.6088784635687814
,2.3187563005620757,,,2.300594721243023,2.3949328277030677,2.522061066577133,,2.229879838372038,2.5002089103265326
,2.0520849700932855,,,2.1869309188670902,2.1593091645969618,2.3313651691206823,,1.983770616528006,2.3383812255679826
,2.2719596453055875,,,2.5238781103461103,2.452861653858814,2.502511610907139,,2.219848141847795,2.6815741397412056
,2.1457260315302324,,,2.424487882372597,2.3138073937816377,2.4889494296258916,,2.106557857883421,2.584814104766351
,2.1647269609931445,,,2.2856003370479936,2.28248810015618,2.3898785267666978,,2.160218179453186,2.614573617177267
,2.148625611187183,,,2.314326014078766,2.2696880424712425,2.4042778862784777,,2.137522915722062,2.6062750928936724
,2.275319447488395,,,2.442265067394029,2.383128598907528,2.3303576054987403,,2.277944278389583,2.5131646654077064
,2.112187460003527,,,2.301736417253806,2.239044037806732,2.4180868916368468,,2.099892667166418,2.5954021367288784
,2.13778549632266,,,2.3104512095905934,2.2520565926087035,2.3566491868028234,,2.1379457321111177,2.569616727648077
,2.411748501686969,,,2.5648945721192633,2.474190133051288,2.3924865049552038,,2.368534127216085,2.4696567556171103
,2.301692789274116,,,2.435604139910149,2.3630232358916885,2.3298247020691587,,2.2759203177667686,2.4493505281160153
,2.3971951982618838,,,2.0580793899538494,2.224687028324892,2.0909987858162404,,2.3137621534690753,2.0984223654707166
,2.3840644482028144,,,2.20179849138833,2.2480613898301978,2.1476921070483694,,2.3257941622770275,2.1090402267541695
,2.560470621459003,,,2.4508687452868423,2.4450366935259,2.3194246754674888,,2.4931794821428674,2.3033105026125833
,2.33534940528784,,,2.2905748681375506,2.194480796201841,2.5112626132788227,,2.3193988983322753,2.1988868074100028
